28 LIPCA 1943; Zwierzyniec
METALOWCÓW; Grzegórzki
MIAROWA; Swoszowice
MIAROWA; Wola Duchacka
ANDRZEJA MICHALIKA; Swoszowice
PIOTRA MICHAŁOWSKIEGO; Stare Miasto
TADEUSZA MICIŃSKIEGO; Łagiewniki
ADAMA MICKIEWICZA Nr nieparzyste; Stare Miasto
ADAMA MICKIEWICZA Nr parzyste; Łobzów
MACIEJA MIECHOWITY; Prądnik Czerwony
MIECHOWSKA; Łobzów
MIECZNIKÓW; Wola Duchacka
MIECZYKOWA; Swoszowice
MIEDZIANA; Grzegórzki
MIEJSCOWA; Swoszowice
MIERNICZYCH; Grębałów
LUDWIKA MIEROSŁAWSKIEGO; Podgórze
MIERZEJA WIŚLANA; Podgórze
STANISŁAWA MIERZWY; Nowa Huta
MIESZCZAŃSKA; Dębniki
MIESZKA I; Prądnik Czerwony
MIĘTOWA; Prądnik Biały
MIGDAŁOWA; Zwierzyniec
STANISŁAWA MIKOŁAJCZYKA; Bieńczyce
STANISŁAWA MIKOŁAJCZYKA; Mistrzejowice
MIKOŁAJSKA; Stare Miasto
HARCMISTRZA STANISłAWA MILLANA; Łagiewniki
MIŁA; Łagiewniki
ZYGMUNTA MIŁKOWSKIEGO; Dębniki
CZESŁAWA MIŁOSZA; Łobzów
CZESŁAWA MIŁOSZA; Stare Miasto
JANA MIODOŃSKIEGO; Swoszowice
MIODOWA Nr.1-53, 2-48. dubluje się nr.53; Stare Miasto
MIODOWA Nr.53-d.k, nr.parzystych brak; Grzegórzki
MIROWSKA; Zwierzyniec
MIRTOWA; Swoszowice
LEONA MISIOŁKA; Grzegórzki
MISJONARSKA; Łobzów
MISTRZEJOWICE; Mistrzejowice
MISTRZEJOWICKA; Mistrzejowice
MIŚNIEŃSKA; Mistrzejowice
STANISŁAWA MITERY; Podgórze
WŁADYSŁAWA MITKOWSKIEGO; Dębniki
MLASKOTÓW; Zwierzyniec
MŁODEJ POLSKI; Bronowice
MŁODOŚCI; Nowa Huta
MŁODZIEŻY; Prokocim-Bieżanów
MŁOTKÓW; Nowa Huta
ZYGMUNTA MŁYNARSKIEGO; Bronowice
MŁYNOWA; Łagiewniki
MŁYNÓWKA KRÓLEWSKA; Bronowice
MŁYNÓWKA KRÓLEWSKA; Łobzów
MŁYŃSKA; Prądnik Czerwony
MŁYŃSKA BOCZNA; Prądnik Czerwony
MAURYCEGO MOCHNACKIEGO; Wola Duchacka
MOCHNANIEC; Dębniki
MOCZYDŁO; Swoszowice
MODRA; Łagiewniki
HELENY MODRZEJEWSKIEJ; Prądnik Biały
MODRZEWIOWA; Zwierzyniec
MOGILSKA; Grzegórzki
MOGILSKIE; Grzegórzki
MOGIŁKI; Prokocim-Bieżanów
MOKRA; Wola Duchacka
GENERAŁA BERNARDA MONDA; Mistrzejowice
STANISŁAWA MONIUSZKI; Grzegórzki
MONTE CASSINO; Dębniki
MONTELUPICH; Stare Miasto
MONTERSKA; Wola Duchacka
JÓZEFA MONTWIŁŁA-MIRECKIEGO; Łagiewniki
MACIEJA MORACZEWSKIEGO; Dębniki
MORAWIAŃSKIEGO; Prokocim-Bieżanów
KAZIMIERZA MORAWSKIEGO Tylko Nr 4 i 6; Stare Miasto
KAZIMIERZA MORAWSKIEGO Wszystkie nr bez Nr 4 i 6; Zwierzyniec
GUSTAWA MORCINKA; Grębałów
GUSTAWA MORCINKA; Mistrzejowice
MORELOWA; Zwierzyniec
MORGI; Nowa Huta
JÓZEFA MOROZEWICZA; Wola Duchacka
MORSZTYNOWSKA; Stare Miasto
HANNY MORTKOWICZ-OLCZAKOWEJ; Grębałów
MORWOWA; Grębałów
JANA MOSDORFA; Mistrzejowice
MOSIĘŻNICZA; Grzegórzki
MOSTOWA; Stare Miasto
KAZIMIERZA MOSZYŃSKIEGO; Swoszowice
IGNACEGO MOŚCICKIEGO; Nowa Huta
TADEUSZA MOTARSKIEGO; Łagiewniki
MOTYLA; Podgórze
MROZOWA; Nowa Huta
MRÓWCZANA; Zwierzyniec
HENRYKA M¨ uNCHA; Zwierzyniec
MURARSKA; Prądnik Biały
MUROWANA; Stare Miasto
JANA MUSZYŃSKIEGO; Swoszowice
LUDWIKA MUZYCZKI; Zwierzyniec
MUZYKÓW; Prokocim-Bieżanów
ANDRZEJA MYCIELSKIEGO; Grębałów
PROFESORA STEFANA MYCZKOWSKIEGO; Bronowice
PROFESORA STEFANA MYCZKOWSKIEGO; Bronowice
MYDLARSKA; Podgórze
MYDLNICKA; Łobzów
MYDLNICKA; Zwierzyniec
ZYGMUNTA MYSŁAKOWSKIEGO; Bronowice
MYŚLENICKA; Łagiewniki
MYŚLENICKA; Swoszowice
MYŚLENICKA; Wola Duchacka
MYŚLIWSKA; Podgórze
NA BARCIACH; Prądnik Czerwony
LUDWIKA NABIELAKA; Prądnik Czerwony
NA BŁONIACH; Zwierzyniec
NA BŁONIE; Bronowice
NA BORACH; Zwierzyniec
NA BUDZYNIU; Prądnik Biały
NA CHAŁUPKACH; Prądnik Biały
NACZELNA; Prądnik Czerwony
NAD BARANÓWKĄ; Grębałów
NADBRZEZIE; Nowa Huta
NADBRZEŻNA; Grzegórzki
NAD CZERNĄ; Dębniki
NAD DŁUBNIĄ; Bieńczyce
NAD DRWINĄ; Prokocim-Bieżanów
NAD FOSĄ; Swoszowice
NA DOŁACH; Podgórze
NAD POTOKIEM; Prokocim-Bieżanów
NADRZECZNA; Prądnik Czerwony
NAD SERAFĄ; Prokocim-Bieżanów
NAD STRUGĄ; Prądnik Czerwony
NAD SUDOŁEM; Prądnik Biały
NAD WILGĄ; Swoszowice
NADWIŚLAŃSKA; Podgórze
NADWODNA; Nowa Huta
NAD ZALEWEM; Bronowice
NAD ZALEWEM; Zwierzyniec
NADZIEJA; Wola Duchacka
NAD ŹRÓDŁEM; Zwierzyniec
NAGŁOWICKA; Mistrzejowice
NA GÓRKACH; Zwierzyniec
NA GRABINACH; Zwierzyniec
NA GRÓDKU; Stare Miasto
NA GRZĄDKACH; Łagiewniki
NA JAZKACH; Prokocim-Bieżanów
NA KLIŃCU; Dębniki
NA KOZŁÓWCE; Prokocim-Bieżanów
NA LESZCZU; Dębniki
NA LOTNISKU; Bieńczyce
NA ŁĄKACH; Czyżyny
NAŁĘCZOWSKA; Swoszowice
WACŁAWA NAŁKOWSKIEGO; Prądnik Biały
ZOFII NAŁKOWSKIEJ; Dębniki
NA ŁUKU; Wola Duchacka
NA MOSTKACH; Prądnik Biały
NA NIWACH; Nowa Huta
NA NOWINACH; Bronowice
NA OBRYDKI; Swoszowice
NA POKUSIE; Swoszowice
NA POLACH; Prądnik Biały
NA POLANKACH; Zwierzyniec
NARCIARSKA; Czyżyny
NARCYZOWA; Bronowice
GABRIELA NARUTOWICZA; Prądnik Biały
NARVIK; Swoszowice
JÓZEFA NARZYMSKIEGO; Grzegórzki
NA SKARPIE; Nowa Huta
NA STOKU; Grębałów
NASTROJOWA; Czyżyny
NASZA; Zwierzyniec
NA SZANIEC; Grzegórzki
WŁADYSŁAWA NATANSONA; Prądnik Biały
NA USTRONIU; Dębniki
NA WIANKACH; Grzegórzki
NA WIERZCHOWINACH; Zwierzyniec
NAWIGACYJNA; Prądnik Biały
NA WIRACH; Zwierzyniec
NAWOJKI; Łobzów
NAWOJOWSKA; Prądnik Biały
NA WRZOSACH; Prokocim-Bieżanów
NA WYRĘBĘ; Prądnik Biały
NA WZGÓRZACH; Grębałów
NA ZAKOLU WISŁY; Podgórze
NA ZAŁĘCZU; Czyżyny
NAZARETAŃSKA; Wola Duchacka
NA ZBOCZU; Mistrzejowice
NA ZIELONKI; Prądnik Biały
NA ZJEŹDZIE; Podgórze
NA ZRĘBIE; Łagiewniki
NEFRYTOWA; Prokocim-Bieżanów
MARCELEGO NENCKIEGO; Nowa Huta
JULII NENKO; Swoszowice
EDMUNDA NEUSSERA; Swoszowice
NIEBIESKA; Swoszowice
NIEBIESKA; Wola Duchacka
NIEBYŁA; Grębałów
NIECAŁA; Łagiewniki
NIEDUŻA; Prądnik Czerwony
MIECZYSŁAWA NIEDZIAŁKOWSKIEGO; Bronowice
NIEDZICKA; Prokocim-Bieżanów
NIEDŹWIEDZINY; Swoszowice
JULIANA URSYNA NIEMCEWICZA; Łagiewniki
CZESłAWA NIEMENA; Zwierzyniec
NIEPODLEGŁOŚCI; Bieńczyce
NIEPOKALANEJ MARII PANNY Nr.108-d.k. ,127-d.k.; Nowa Huta
NIEPOKALANEJ MARII PANNY Nr.2-106, 1-125; Czyżyny
FRANCISZKA NIEPOKÓLCZYCKIEGO; Wola Duchacka
NIEPOŁOMSKA; Czyżyny
NIERÓWNA; Dębniki
NIESZAWSKA; Mistrzejowice
NIETOPERZY; Zwierzyniec
NIEWIELKA; Grębałów
HENRYKA NIEWODNICZAŃSKIEGO; Swoszowice
NIEZAPOMINAJEK; Zwierzyniec
NIEZNANA; Prądnik Czerwony
NIKIFORA; Prądnik Czerwony
NISKA; Prądnik Biały
KAZIMIERZA NITSCHA; Zwierzyniec
NIWY; Podgórze
NIZINNA; Grzegórzki
NORMANDZKA; Dębniki
CYPRIANA KAMILA NORWIDA; Grzegórzki
NORYMBERSKA; Dębniki
NOWA; Stare Miasto
ADOLFA NOWACZYŃSKIEGO; Dębniki
NOWA GÓRKA; Prądnik Biały
JANA NOWAKA; Prokocim-Bieżanów
MAKSYMILIANA NOWICKIEGO; Swoszowice
BARTŁOMIEJA NOWODWORSKIEGO; Swoszowice
NOWOGRÓDZKA; Łagiewniki
NOWOLIPKI; Bieńczyce
NOWOLIPKI; Grębałów
NOWOSĄDECKA; Prokocim-Bieżanów
NOWOTARSKA; Łagiewniki
NOWOWIEJSKA; Łobzów
PUŁKOWNIKA FRANCESCO NULLO; Grzegórzki
MAJORA RYSZARDA NUSZKIEWICZA; Prądnik Czerwony
OBOPÓLNA; Łobzów
OBOZOWA; Dębniki
OBOŹNA; Łobzów
OBRONNA; Prokocim-Bieżanów
OBRONNA; Wola Duchacka
OBRONY TYŃCA; Dębniki
OBROŃCÓW HELU; Dębniki
OBROŃCÓW KRZYŻA; Bieńczyce
OBROŃCÓW KRZYŻA; Nowa Huta
OBROŃCÓW MODLINA; Podgórze
OBROŃCÓW TOBRUKU; Dębniki
OBROŃCÓW WARSZAWY; Mistrzejowice
OBWODOWA; Grębałów
TADEUSZA OCHLEWSKIEGO; Bronowice
OCHOCZA; Prokocim-Bieżanów
ODLEWNICZA; Bronowice
ODLEWNICZA; Łobzów
ODMĘTOWA Nr.2-24, 1-23; Nowa Huta
ODMĘTOWA Nr.26-d.k. ,25-d.k.; Czyżyny
ODMOGILE; Bieńczyce
IWONA ODROWĄŻA; Łobzów
ODRZAŃSKA; Łagiewniki
SŁAWOMIRA ODRZYWOLSKIEGO; Dębniki
ANTONIEGO ODYŃCA; Zwierzyniec
OFIAR DĄBIA; Grzegórzki
OFIAR KATYNIA; Prądnik Biały
OGŁĘCZYZNA; Czyżyny
OGNISTYCH WICI; Mistrzejowice
OGÓRKOWA; Prokocim-Bieżanów
OGRODNICZA; Prądnik Czerwony
OGRODNICZEK; Łobzów
OGRODNIKI; Łagiewniki
OGRODOWA; Stare Miasto
OGRODOWE; Nowa Huta
OJCOWSKA; Prądnik Biały
OKOCIMSKA; Prokocim-Bieżanów
STANISŁAWA OKONIA; Dębniki
OKOPOWA; Łagiewniki
OKÓLNA; Prokocim-Bieżanów
OKRĄG; Zwierzyniec
OKRĘGLIK; Prokocim-Bieżanów
OKRĘŻNA; Prądnik Biały
STEFANA OKRZEI; Łagiewniki
GENERAŁA LEOPOLDA OKULICKIEGO Brak zabudowy; Grzegórzki
GENERAŁA LEOPOLDA OKULICKIEGO Nr 1 i 44, brak zwartej zabudowy; Mistrzejowice
OKULISTÓW; Prądnik Biały
OLCHOWA; Zwierzyniec
OLEANDRY; Łobzów
OLIMPIJSKA; Łobzów
OLKUSKA; Bronowice
OLSZANICKA; Zwierzyniec
OLSZAŃSKA; Grzegórzki
OLSZECKA; Prądnik Czerwony
KAROLA OLSZEWSKIEGO; Stare Miasto
OLSZTYŃSKA; Prądnik Czerwony
OLSZYNY; Grzegórzki
GENERAŁA JÓZEFA OLSZYNY-WILCZYŃSKIEGO; Prądnik Biały
ONDRASZKA; Wola Duchacka
ŁUKASZA OPALIŃSKIEGO; Swoszowice
OPALOWA; Prokocim-Bieżanów
OPATKOWICKA; Swoszowice
ZDZISŁAWA OPIALA; Swoszowice
OPOLSKA; Prądnik Biały
OPOLSKA; Prądnik Czerwony
OPTY; Prokocim-Bieżanów
ORACZY; Łagiewniki
ORAWSKA; Podgórze
ORGANKI; Grębałów
WŁADYSŁAWA ORKANA; Nowa Huta
ORLA; Zwierzyniec
ORLĄT LWOWSKICH; Grzegórzki
ORLEAŃSKA; Dębniki
ORLICH GNIAZD; Prądnik Biały
ORŁA BIAŁEGO; Mistrzejowice
ALEKSANDRA ORŁOWSKIEGO; Grębałów
ORNA; Bronowice
ORSZAŃSKA; Swoszowice
HARCMISTRZA STANISŁAWA ORSZY-BRONIEWSKIEGO; Dębniki
ORZECHOWA; Łagiewniki
ELIZY ORZESZKOWEJ; Stare Miasto
LUDWIKA OSIECKIEGO; Grębałów
; Czyżyny
OSIEDLE; Czyżyny
OSIEDLOWA; Nowa Huta
OSIKOWA; Podgórze
MICHAŁA OSSOWSKIEGO; Wola Duchacka
JÓZEFA OSTAFINA; Nowa Huta
OSTATNIA; Prądnik Czerwony
JULIUSZA OSTERWY; Swoszowice
JANA OSTROROGA; Prądnik Czerwony
OSTRÓW; Nowa Huta
OSTRÓWKA; Nowa Huta
WINCENTEGO OSZUSTOWSKIEGO; Zwierzyniec
OŚWIECENIA; Mistrzejowice
OŚWIĘCIMSKA; Zwierzyniec
STEFANA OTWINOWSKIEGO; Grzegórzki
DOKTORA MIECZYSŁAWA OWCY-ORWICZA; Zwierzyniec
OWOCOWA; Swoszowice
OWSIANA; Prądnik Biały
PIOTRA OŻAŃSKIEGO; Nowa Huta
HENRYKA PACHOŃSKIEGO; Prądnik Biały
IGNACEGO PADEREWSKIEGO; Stare Miasto
BISKUPA FILIPA PADNIEWSKIEGO; Nowa Huta
PAGÓRKOWA; Wola Duchacka
ANTONIEGO PAJDAKA; Swoszowice
PAJĘCZA; Zwierzyniec
JANA PALACHA; Prądnik Biały
PALMOWA; Bronowice
PAMIĘTNA; Bronowice
PANA TADEUSZA; Podgórze
PANIEŃSKICH SKAŁ; Zwierzyniec
JÓZEFA PANKIEWICZA; Grębałów
PANORAMICZNA; Zwierzyniec
PAŃSKA; Wola Duchacka
PAPIERNICZA; Prądnik Biały
PAPROCI; Podgórze
PARAFIALNA; Swoszowice
PARKOWA; Podgórze
TEODORA PARNICKIEGO; Mistrzejowice
PARTYZANTÓW; Prądnik Czerwony
PASIECZNA; Łagiewniki
JANA CHRYZOSTOMA PASKA; Dębniki
PASTELOWA; Dębniki
PASTERNIK; Bronowice
PASTERNIK; Łobzów
PASTERSKA; Grębałów
LUDWIKA PASTEURA; Prądnik Biały
GENERAŁA FRANCISZKA PASZKOWSKIEGO; Prądnik Biały
HELENY I LEONA PATYNÓW; Dębniki
PAULIŃSKA; Stare Miasto
PAWIA; Stare Miasto
KSIĘDZA STEFANA PAWLICKIEGO; Dębniki
PAWLIKOWSKIEGO; Stare Miasto
PAWŁA Z KROSNA; Dębniki
BOGUMIŁA PAWŁOWSKIEGO; Swoszowice
TADEUSZA PEIPERA; Bronowice
PEJZAŻOWA; Prądnik Biały
GENERAŁA TADEUSZA PEŁCZYŃSKIEGO; Prądnik Biały
PERKUNA; Mistrzejowice
PERŁOWA; Swoszowice
SANDORA PET¨ oFIEGO; Grębałów
PĘDZICHÓW; Stare Miasto
PĘKOWICKA; Prądnik Biały
FRANCISZKA PĘKSZYCA-GRUDZIŃSKIEGO; Zwierzyniec
SERGIUSZA PIASECKIEGO; Łagiewniki
PIASKOWA; Prądnik Biały
PIASTA KOŁODZIEJA; Mistrzejowice
PIASTOWSKA; Łobzów
PIASTOWSKA; Zwierzyniec
PIASTÓW; Mistrzejowice
PIASZCZYSTA; Prądnik Biały
PIEKARSKA; Stare Miasto
PIELĘGNIAREK; Prądnik Biały
PIENIŃSKA; Łagiewniki
BRONISŁAWA PIERACKIEGO; Wola Duchacka
PIERZCHÓWKA; Łagiewniki
JANA PIETRUSIŃSKIEGO; Dębniki
PIĘKNA; Prądnik Czerwony
STANISŁAWA PIGONIA; Prądnik Biały
PIJARSKA; Stare Miasto
ROTMISTRZA WITOLDA PILECKIEGO; Bronowice
PILOTÓW; Prądnik Czerwony
DOKTORA JANA PILTZA; Dębniki
PIŁKARSKA; Swoszowice
MARSZAŁKA JÓZEFA PIŁSUDSKIEGO; Stare Miasto
HIERONIMA PINOCCI; Swoszowice
PIŃCZOWSKA; Mistrzejowice
PIOTRUSIA PANA; Grębałów
PIWNA; Podgórze
JANA PIWNIKA ”PONUREGO”; Bronowice
PLANTY; Stare Miasto
PLASTUSIA; Nowa Huta
EMILII PLATER; Łobzów
PLAŻOWA; Nowa Huta
PLESZOWSKA; Prądnik Biały
KAZIMIERZA PLUTY-CZACHOWSKIEGO; Nowa Huta
PŁASKA; Grębałów
PŁASZOWSKA; Podgórze
PŁOMYCZKA; Grębałów
PŁOSZCZYNY; Nowa Huta
KAZIMIERZA POCHWALSKIEGO; Prokocim-Bieżanów
POCHYŁA; Wola Duchacka
POCIESZKA; Prądnik Czerwony
POCZTOWA; Łagiewniki
PODBAGNIE; Nowa Huta
PODBIAŁOWA; Nowa Huta
LONGINA PODBIPIĘTY; Czyżyny
LONGINA PODBIPIĘTY; Grzegórzki
PODBRZEZIE; Stare Miasto
PODCHORĄŻYCH; Łobzów
POD DĘBAMI; Dębniki
PODEDWORZE; Wola Duchacka
POD FORTEM; Prądnik Biały
POD GAJEM; Grębałów
PODGÓRKI; Swoszowice
PODGÓRKI; Wola Duchacka
PODGÓRKI TYNIECKIE; Dębniki
PODGÓRSKA Nr.11,12-22, brak nr.2-10, 24, 26; Stare Miasto
PODGÓRSKA Nr.28-d.k. brak nr. nieparzystych; Grzegórzki
POD GWIAZDAMI; Podgórze
PODGWIEZDNA; Wola Duchacka
PODHALAŃSKA; Łagiewniki
PODHALNIE; Swoszowice
POD JANEM; Zwierzyniec
PODKAMYK; Zwierzyniec
POD KOPCEM; Podgórze
WŁADYSŁAWA PODKOWIŃSKIEGO; Prądnik Biały
PODLESIE; Wola Duchacka
PODLESKA; Czyżyny
PODŁĄCZE; Zwierzyniec
PODŁĘSKA; Prokocim-Bieżanów
PODŁUŻNA; Zwierzyniec
PODMIEJSKA; Prądnik Czerwony
PODMIŁÓW; Prokocim-Bieżanów
PODMOKŁA; Łagiewniki
PODOLE; Dębniki
POD POMNIKIEM; Prokocim-Bieżanów
PODRZECZE; Bieńczyce
POD SIKORNIKIEM; Zwierzyniec
PODSKALE; Podgórze
POD SKAŁĄ; Zwierzyniec
POD SOWIŃCEM; Zwierzyniec
PODSTAWIE; Nowa Huta
POD STOKIEM; Zwierzyniec
POD STRUGĄ; Dębniki
POD STRZECHĄ; Bronowice
POD SULNIKIEM; Zwierzyniec
POD SZAŃCAMI; Zwierzyniec
POD SZWEDEM; Zwierzyniec
PODWALE; Stare Miasto
PODWAWELSKIE; Dębniki
POD WIERZBAMI; Podgórze
PODWÓRKOWA; Wola Duchacka
PODZAMCZE; Stare Miasto
POGODNA; Prądnik Czerwony
POKOJU; Czyżyny
POKOJU; Grzegórzki
GUSTAWA POKRZYWKI; Bieńczyce
FILIPA POKUTYŃSKIEGO; Dębniki
WINCENTEGO POLA; Grzegórzki
POLARNA; Dębniki
POLESKA; Czyżyny
POLNA; Prądnik Biały
POLNYCH KWIATÓW; Zwierzyniec
POLONIJNA; Prokocim-Bieżanów
POLSAD; Prądnik Czerwony
TADEUSZA POŁOMSKIEGO; Łagiewniki
POMORSKA; Łobzów
POMYKANY; Grębałów
PONIEDZIAŁKOWY DÓŁ; Zwierzyniec
KAROLA POPIELA; Bronowice
POPIELIDÓW; Mistrzejowice
POPIELNIK; Nowa Huta
KSIĘDZA JERZEGO POPIEŁUSZKI; Prokocim-Bieżanów
WACŁAWA POPŁAWSKIEGO; Prokocim-Bieżanów
POPRZECZNA; Wola Duchacka
JANINY PORAZIŃSKIEJ; Grębałów
PORĘBA; Zwierzyniec
PORFIROWA; Dębniki
PORONIŃSKA; Swoszowice
PORTOWA; Podgórze
PORT SOLNY; Podgórze
PORZECZE; Zwierzyniec
PORZECZKOWA; Prądnik Biały
POSELSKA; Stare Miasto
ANDRZEJA POTEBNI; Podgórze
STANISŁAWA KOSTKI POTOCKIEGO; Prądnik Biały
POTOCZEK; Prądnik Biały
POTRZASK; Prokocim-Bieżanów
JERZEGO POTRZEBOWSKIEGO; Prokocim-Bieżanów
WŁADYSŁAWA POTURALSKIEGO; Wola Duchacka
POWAŁY Z TACZEWA; Wola Duchacka
POWIATOWA; Nowa Huta
POWIŚLE; Stare Miasto
POWOJOWA; Nowa Huta
POWROŹNICZA; Dębniki
POWSTANIA LISTOPADOWEGO; Zwierzyniec
POWSTANIA STYCZNIOWEGO; Zwierzyniec
POWSTAŃCÓW Nr.1-127 parzyste i nieparzyste; Prądnik Czerwony
POWSTAŃCÓW Nr.128-d.k.; Mistrzejowice
POWSTAŃCÓW ŚLĄSKICH; Podgórze
POZIOMKOWA; Prądnik Biały
POZNAŃSKA; Łobzów
PÓŁKOLE; Grzegórzki
PÓŁŁANKI; Podgórze
PÓŁŁANKI; Prokocim-Bieżanów
PÓŁNOCNA; Prądnik Biały
BISKUPA JANA PRANDOTY; Stare Miasto
PRASKA; Dębniki
ROMANA PRAWOCHEŃSKIEGO; Nowa Huta
ADAMA PRAŻMOWSKIEGO; Dębniki
PRĄDNICKA Nr.1-33, 2-44; Łobzów
PRĄDNICKA Nr.35-d.k, 46-d.k.; Prądnik Biały
GENERAŁA IGNACEGO PRĄDZYŃSKIEGO; Prądnik Czerwony
ELVISA PRESLEYA; Dębniki
PROCHOWA; Grzegórzki
PROKOCIMSKA; Podgórze
PROMIENISTYCH; Prądnik Czerwony
PROMIENNA; Prokocim-Bieżanów
PROMOWA; Dębniki
STANISŁAWA PRONIA; Prokocim-Bieżanów
PROSTA; Prokocim-Bieżanów
PROSZOWICKA; Prądnik Biały
ADAMA PRÓCHNIKA; Mistrzejowice
BOLESŁAWA PRUSA; Zwierzyniec
PRUSKA; Grębałów
KSAWEREGO PRUSZYŃSKIEGO; Prokocim-Bieżanów
TOMASZA PRYLIŃSKIEGO; Dębniki
ALEKSANDRA PRYSTORA; Bronowice
ZDZISŁAWA PRZEBINDOWSKIEGO; Grębałów
PRZEBIŚNIEGÓW; Prokocim-Bieżanów
PRZECINEK; Prokocim-Bieżanów
PRZEDWIOŚNIE; Podgórze
PRZEGON; Zwierzyniec
PRZEGORZALSKA; Zwierzyniec
PRZEKĄTNA; Wola Duchacka
PRZEŁAZEK; Prokocim-Bieżanów
PRZEŁĘCZ; Podgórze
PRZEŁOM; Dębniki
PRZEMIARKI; Dębniki
PRZEMYSKA; Stare Miasto
PRZEMYSŁAWA II; Grębałów
PRZEMYSŁOWA; Podgórze
PRZEPIÓRCZA; Zwierzyniec
PRZESKOK; Łobzów
PRZESMYK; Bronowice
PRZEWIEWNA; Wola Duchacka
PRZEWÓZ; Podgórze
PRZY ARCE; Bieńczyce
JULIANA PRZYBOSIA; Grębałów
STANISŁAWA PRZYBYSZEWSKIEGO; Bronowice
PRZY CEGIELNI; Podgórze
PRZYJAŹNI; Nowa Huta
PRZYJEMNA; Bronowice
PRZYKOPY; Łagiewniki
PRZYKOPY; Wola Duchacka
PRZY KUŹNI; Wola Duchacka
PRZYLASEK; Nowa Huta
PRZYLASZCZKI; Prokocim-Bieżanów
PRZYMIARKI; Grębałów
PRZY MŁYNÓWCE; Bronowice
PRZY MOŚCIE; Podgórze
PRZYRODNICZA; Swoszowice
PRZY RONDZIE; Grzegórzki
PRZYSZŁOŚCI; Zwierzyniec
PRZY TORZE; Łagiewniki
JANA KANTEGO PRZYZBY; Dębniki
PSZCZELNA; Dębniki
PSZENNA; Wola Duchacka
MIECZYSŁAWA PSZONA; Prądnik Czerwony
FRANCISZKA PTAKA; Bieńczyce
PTASIA; Prądnik Czerwony
TADEUSZA PTASZYCKIEGO; Nowa Huta
WŁODZIMIERZA PUCHALSKIEGO; Zwierzyniec
KAZIMIERZA PUŁASKIEGO; Dębniki
PUSTELNIA; Dębniki
PUSTELNIKA; Zwierzyniec
PUSTYNNA; Swoszowice
PUSZCZYKÓW; Zwierzyniec
PUSZKARSKA; Wola Duchacka
KAZIMIERZA PUŻAKA; Prądnik Biały
PYCHOWICKA; Dębniki
STANISŁAWA PYJASA; Łobzów
PYLNA; Zwierzyniec
PYSOCICE; Nowa Huta
PYSOŃCE; Nowa Huta
WŁADYSŁAWA PYTLASIŃSKIEGO; Swoszowice
RABCZAŃSKA; Swoszowice
RABSZTYŃSKA; Swoszowice
RACIBORSKA; Dębniki
RACIBORSKIEGO; Prądnik Czerwony
RACŁAWICKA Nr.1-53, 2-60; Łobzów
RACŁAWICKA Nr.55-d.k. 62-d.k.; Prądnik Biały
WŁADYSŁAWA RACZKIEWICZA; Zwierzyniec
RADŁOWA; Dębniki
ZYGMUNTA RADNICKIEGO; Swoszowice
RADOMSKA; Prądnik Czerwony
RADOSNA; Podgórze
FELIKSA RADWAŃSKIEGO; Łobzów
WALEREGO ELIASZA RADZIKOWSKIEGO Nr 1-97, 2-150; Prądnik Biały
WALEREGO ELIASZA RADZIKOWSKIEGO Nr 99-d.k., 152-d.k.; Bronowice
RADZIWIŁŁOWSKA; Stare Miasto
BARBARY RADZIWIŁŁÓWNY; Bieńczyce
RAJSKA; Stare Miasto
RAKOWICKA Nr.18-30, 27-99; Stare Miasto
RAKOWICKA Nr.2-16, 1-25; Grzegórzki
RAKUŚ; Prokocim-Bieżanów
RATAJSKA; Łagiewniki
CYRYLA RATAJSKIEGO; Swoszowice
GENERAŁA LUDOMIŁA RAYSKIEGO; Czyżyny
RĄCZNA; Podgórze
RDZAWA; Swoszowice
REDEMPTORYSTÓW; Podgórze
REDUTA; Prądnik Czerwony
REFORMACKA; Stare Miasto
MIKOŁAJA REJA; Prądnik Biały
TADEUSZA REJTANA; Podgórze
RETORYKA; Stare Miasto
HENRYKA REYMANA; Łobzów
WŁADYSŁAWA REYMONTA; Łobzów
REZEDOWA; Prądnik Czerwony
RĘDZINA; Zwierzyniec
RĘKAWKA; Podgórze
WILHELMA I JANA RIPPERÓW; Prokocim-Bieżanów
JANA ZYGMUNTA ROBLA; Zwierzyniec
ROBOTNICZA; Podgórze
RODAKOWSKIEGO; Bronowice
RODZINNA; Dębniki
RODZINY JĘDÓW; Wola Duchacka
TADEUSZA ROGALSKIEGO; Zwierzyniec
ROGATKA; Stare Miasto
STEFANA ROGOZIŃSKIEGO; Grzegórzki
GENERAŁA BOLESŁAWA ROI; Wola Duchacka
ROKITNIAŃSKA; Prądnik Czerwony
STANISŁAWA ROKOSZA; Prądnik Biały
KAROLA ROLLEGO; Podgórze
ROLNA; Dębniki
ROLNICZA; Łobzów
TADEUSZA ROMANOWICZA; Podgórze
EUGENIUSZA ROMERA; Zwierzyniec
ROSISTA; Dębniki
JÓZEFA ROSTAFIŃSKIEGO; Łobzów
STANISŁAWA ROSTWOROWSKIEGO; Dębniki
HENRYKA ROWIDA; Grębałów
ROZDROŻE; Dębniki
ROZMARYNOWA; Prądnik Czerwony
ROZRYWKA; Prądnik Czerwony
WŁADYSŁAWA ROŻENA-JAKSY; Podgórze
RóWNA; Nowa Huta
RÓŻ; Nowa Huta
RÓŻANA; Dębniki
