28 LIPCA 1943; Zwierzyniec
HELENY CHANIECKIEJ; Swoszowice
JÓZEFA CHEŁMOŃSKIEGO; Prądnik Biały
JÓZEFA CHEŁMOŃSKIEGO-DEPTAK; Prądnik Biały
CHEŁMSKA; Zwierzyniec
CHĘCIŃSKA; Swoszowice
CHLEBICZNA; Dębniki
CHLEBOWA; Prądnik Czerwony
CHŁODNA; Łagiewniki
GENERAŁA JÓZEFA CHŁOPICKIEGO; Grzegórzki
CHŁOPSKA; Podgórze
ADAMA CHMIELA; Łobzów
CHMIELENIEC; Dębniki
CHMIELNA; Łagiewniki
ADAMA CHMIELOWSKIEGO; Stare Miasto
CHMURNA; Prądnik Biały
CHOCHOŁOWSKA; Łagiewniki
CHOCIMSKA; Łobzów
JANA KAROLA CHODKIEWICZA; Grzegórzki
DANIELA CHODOWIECKIEGO; Łobzów
CHOJNICKA; Swoszowice
FRYDERYKA CHOPINA; Łobzów
CHORZOWSKA; Swoszowice
IGNACEGO CHRZANOWSKIEGO; Swoszowice
LEONA CHWISTKA; Zwierzyniec
CIASNA; Wola Duchacka
CICHA; Bronowice
CICHOCIEMNYCH AK; Czyżyny
CICHY KĄCIK; Zwierzyniec
CIECHANOWSKA; Swoszowice
STANISŁAWA CIECHANOWSKIEGO; Zwierzyniec
CIECHOCIŃSKA; Swoszowice
CIEKOWIEC; Nowa Huta
CIEMNA; Stare Miasto
CIENISTA; Bieńczyce
ŁUKASZA CIEPLIŃSKIEGO; Grzegórzki
CIEPŁA; Swoszowice
CIEPŁOWNICZA; Czyżyny
CIESIELSKA; Łagiewniki
CIESZYŃSKA; Łobzów
ERNESTA CIEŚLEWSKIEGO; Grzegórzki
HALINY CIEŚLIŃSKIEJ-BRZESKIEJ; Grębałów
ADAMA CIOŁKOSZA; Swoszowice
KONSTANTEGO CIOŁKOWSKIEGO; Prądnik Czerwony
CISOWA; Zwierzyniec
PANA COGITO; Prądnik Czerwony
COMBROWA; Prądnik Czerwony
JOSEPHA CONRADA; Prądnik Biały
CUPLOWA; Czyżyny
NAPOLEONA CYBULSKIEGO; Stare Miasto
CYGAŃSKA; Zwierzyniec
CYPRYSÓW; Grębałów
CYSTERSÓW; Grzegórzki
TADEUSZA CZACKIEGO; Podgórze
CZAJEK; Zwierzyniec
JÓZEFA CZAJKOWSKIEGO; Swoszowice
KAZIMIERZA CZAPIŃSKIEGO; Łobzów
WŁADYSŁAWA CZAPLICKIEGO; Mistrzejowice
CZAPSKICH; Stare Miasto
STEFANA CZARNIECKIEGO; Podgórze
CZARNOCHOWICKA; Prokocim-Bieżanów
CZARNOGÓRSKA; Wola Duchacka
CZARNOLASKA; Mistrzejowice
CZARNOWIEJSKA Nr.1-25,2-8 Brak nr.27-37,10-16; Stare Miasto
CZARNOWIEJSKA Nr.39-d.k. 18-d.k.; Łobzów
CZARODZIEJSKA; Dębniki
BRONISŁAWA CZECHA; Łobzów
CZECHOSŁOWACKA; Dębniki
SZYMONA CZECHOWICZA; Prokocim-Bieżanów
CZECZEŃSKA; Nowa Huta
HENRYKA CZECZOTTA; Podgórze
HENRYKA I KAROLA CZECZÓW; Prokocim-Bieżanów
CZELADNICZA; Bronowice
BŁAŻEJA CZEPCA; Bronowice
PROFESORA ZDZISŁAWA CZEPPE; Dębniki
CZEREMCHOWA; Zwierzyniec
CZEREŚNIOWA; Prądnik Czerwony
CZERSKA; Swoszowice
RAFAŁA CZERWIAKOWSKIEGO; Prokocim-Bieżanów
BOLESŁAWA CZERWIEŃSKIEGO; Prądnik Biały
CZERWONA; Prądnik Czerwony
CZERWONEGO KAPTURKA; Grębałów
CZERWONEGO PRĄDNIKA; Prądnik Czerwony
CZERWONE MAKI; Dębniki
CZOŁGISTÓW; Swoszowice
CZORSZTYŃSKA; Prokocim-Bieżanów
BOLESŁAWA CZUCHAJOWSKIEGO; Nowa Huta
MARIANA CZUCHNOWSKIEGO; Swoszowice
CZWARTAKÓW; Dębniki
EMILIANA CZYRNIAŃSKIEGO; Swoszowice
CZYSTA; Stare Miasto
TYTUSA CZYŻEWSKIEGO; Bronowice
TYTUSA CZYŻEWSKIEGO; Łobzów
CZYŻÓWKA; Podgórze
CZYŻYKÓW; Zwierzyniec
CZYŻYŃSKA; Prądnik Czerwony
CZYŻYŃSKIE; Nowa Huta
MIECZYSŁAWY ĆWIKLIŃSKIEJ; Prokocim-Bieżanów
ĆWIKŁOWA; Dębniki
DAJWÓR; Stare Miasto
DALEKA; Zwierzyniec
DALIOWA; Wola Duchacka
DANALÓWKA; Prokocim-Bieżanów
GUSTAWA DANIŁOWSKIEGO; Nowa Huta
WINCENTEGO DANKA; Prądnik Biały
DANUSI JURANDÓWNY; Dębniki
WOJCIECHA DARASZA; Prokocim-Bieżanów
KAROLA DARWINA; Grębałów
IGNACEGO DASZYŃSKIEGO; Grzegórzki
ALFREDA DAUNA; Wola Duchacka
PUŁKOWNIKA STANISŁAWA DĄBKA; Podgórze
DĄBROWA; Dębniki
HENRYKA DĄBROWSKIEGO; Podgórze
MARII DĄBROWSKIEJ; Czyżyny
MARII DĄBROWSKIEJ; Grzegórzki
DĄBRÓWKI; Podgórze
DĄBSKA; Grzegórzki
DEKARZY; Łagiewniki
JANA DEKERTA; Podgórze
EDWARDA DEMBOWSKIEGO; Podgórze
DEOTYMY; Łagiewniki
KSIĘDZA WŁADYSŁAWA DERCZA; Swoszowice
DERENIOWA; Dębniki
DESZCZOWA; Nowa Huta
STANISŁAWA DĘBICKIEGO; Swoszowice
DĘBNICKA; Dębniki
DĘBOROGA; Dębniki
DĘBOWA; Dębniki
JÓZEFA DIETLA; Stare Miasto
DŁUGA; Stare Miasto
JANA DŁUGOSZA; Podgórze
ROMANA DMOWSKIEGO; Mistrzejowice
DOBCZYCKA; Wola Duchacka
DOBRA; Prądnik Czerwony
DOBREGO PASTERZA; Prądnik Czerwony
ANTONIEGO DOBROWOLSKIEGO; Dębniki
JERZEGO DOBRZYCKIEGO; Zwierzyniec
DO FORTU; Mistrzejowice
DO GROTY; Dębniki
DOJAZDOWA; Zwierzyniec
DO KOPCA; Zwierzyniec
DOKTORA JUDYMA; Swoszowice
DOKTORA TWARDEGO Brak zabudowy; Prądnik Biały
DOLINA; Zwierzyniec
JAROSŁAWA DOLIŃSKIEGO; Bronowice
DOLNA; Czyżyny
DOLNOMŁYŃSKA; Czyżyny
DOLNYCH MŁYNÓW; Stare Miasto
DO LUBONI; Wola Duchacka
MARIANA DOMAGAŁY; Prokocim-Bieżanów
IGNACEGO DOMEYKI; Łobzów
DOMINIKANÓW; Prądnik Czerwony
DOMINIKAŃSKA; Stare Miasto
DOMKI; Grzegórzki
DOMOWA; Dębniki
DO OBSERWATORIUM; Zwierzyniec
DO PRZYSTANI; Zwierzyniec
WITOLDA DOROSZEWSKIEGO; Swoszowice
DO WILGI; Łagiewniki
DO WISŁY; Czyżyny
DOŻYNKOWA; Prądnik Biały
DREWNIANA; Podgórze
DROGA DO ZAMKU; Stare Miasto
DROGA NAD BIAŁUCHĄ; Grzegórzki
DROGA ROKADOWA; Swoszowice
KAROLA I JERZEGO DROZDOWSKICH; Dębniki
DROŻDŻOWA; Prokocim-Bieżanów
DROŻYNA; Zwierzyniec
DROŻYSKA; Nowa Huta
DRÓŻKA; Swoszowice
DRÓŻNICKA; Prądnik Biały
DRUHNY HANKI; Łagiewniki
DRUKARSKA; Dębniki
DRUSKIENNICKA; Swoszowice
ELŻBIETY DRUŻBACKIEJ; Swoszowice
DRZYMAŁY; Bronowice
STANISŁAWA DUBOIS; Prokocim-Bieżanów
DUCHACKA; Prądnik Czerwony
DUKATÓW; Grzegórzki
JULIANA DUNAJEWSKIEGO; Stare Miasto
XAWEREGO DUNIKOWSKIEGO; Bieńczyce
ROTMISTRZA ZBIGNIEWA DUNIN-WĄSOWICZA; Zwierzyniec
DUŻA GÓRA; Prokocim-Bieżanów
GENERAŁA JÓZEFA DWERNICKIEGO; Grzegórzki
DWORCOWA; Podgórze
DWORNA; Zwierzyniec
DWORSKA; Dębniki
DWORSKI OGRÓD; Dębniki
DWORZEC; Podgórze
BENEDYKTA DYBOWSKIEGO; Nowa Huta
ADOLFA DYGASIŃSKIEGO; Prokocim-Bieżanów
DYMAREK; Nowa Huta
DYMNIK; Podgórze
DYWIZJONU 303; Czyżyny
DZIAŁKOWA; Prokocim-Bieżanów
STANISŁAWA DZIAŁOWSKIEGO; Dębniki
EMILA DZIEDZICA; Prądnik Czerwony
DZIEKANOWICKA; Mistrzejowice
DZIELNA; Prądnik Biały
MIROSŁAWA DZIELSKIEGO; Prądnik Czerwony
DZIEWANNY; Prądnik Biały
DZIEWIARZY; Dębniki
DZIKIEJ RÓŻY; Swoszowice
KSIĘDZA FRAŃCISZKA DŹWIGOŃSKIEGO; Wola Duchacka
GUSTAWA EHRENBERGA; Prądnik Biały
EUGENIUSZA EIBISCHA; Swoszowice
FILIPA EISENBERGA; Grzegórzki
WŁADYSŁAWA EKIELSKIEGO; Dębniki
JÓZEFA ELSNERA; Prądnik Biały
EMAUS; Zwierzyniec
PORUCZNIKA EMIRA; Dębniki
ESTERY; Stare Miasto
ESTOŃSKA; Wola Duchacka
ESTREICHERÓW; Zwierzyniec
FABRYCZNA; Grzegórzki
FACIMIECH; Prokocim-Bieżanów
FALISTA; Dębniki
FALOWA; Łagiewniki
JULIANA FAŁATA; Zwierzyniec
FAŁĘCKA; Swoszowice
FAMILIJNA; Swoszowice
FARMACEUTÓW; Grzegórzki
FATIMSKA; Bieńczyce
JERZEGO FEDKOWICZA; Dębniki
WACŁAWA FELCZAKA; Dębniki
WILHELMA FELDMANA; Stare Miasto
FELICJANEK; Stare Miasto
SERENO FENN’A; Stare Miasto
ANTONIEGO FERTNERA; Prądnik Czerwony
GENERAŁA AUGUSTA FIELDORFA-NILA; Prądnik Biały
KSIĘDZA KAZIMIERZA FIGLEWICZA; Nowa Huta
FILARECKA; Zwierzyniec
GENERAŁA JULIANA FILIPOWICZA; Wola Duchacka
FILTROWA; Bronowice
FIOŁKOWA; Prądnik Czerwony
FISZERA; Prądnik Biały
HENRYKA FLAME; Nowa Huta
LEOPOLDA FLANKA; Prokocim-Bieżanów
FLISACKA; Zwierzyniec
ROMANA FLORERA; Czyżyny
FLORIAŃSKA; Stare Miasto
WALENTEGO FLORKOWSKIEGO; Grębałów
MARSZAŁKA FERDINANDA FOCHA; Zwierzyniec
FOLWARCZNA; Grębałów
FORTECZNA; Swoszowice
FOSA; Dębniki
FRANCISZKAŃSKA; Stare Miasto
ALEKSANDRA FREDRY; Łagiewniki
EMILA FREEGE’GO; Grębałów
JÓZEFA FRIEDLEINA; Łobzów
KAROLA FRYCZA; Prądnik Biały
ANDRZEJA FRYCZA-MODRZEWSKIEGO; Prądnik Biały
GACKI; Swoszowice
WALEREGO GADOMSKIEGO; Swoszowice
GAIK; Prądnik Biały
JANA GAJOCHA; Nowa Huta
GAJOWA; Łagiewniki
GAJÓWKA; Zwierzyniec
GALAKTYCZNA; Dębniki
JÓZEFA GAŁĘZOWSKIEGO; Swoszowice
MAHATMY GANDHIEGO; Zwierzyniec
GARBARSKA; Stare Miasto
STEFANA GARCZYŃSKIEGO; Grzegórzki
LUDWIKA GARDOWSKIEGO; Prokocim-Bieżanów
PUŁKOWNIKA EDWARDA GARDY-GODLEWSKIEGO; Grębałów
GARNCARSKA; Stare Miasto
BISKUPA JÓZEFA GAWLINY; Prądnik Biały
GAZOWA; Stare Miasto
WACŁAWA GĄSIOROWSKIEGO; Swoszowice
GDAŃSKA; Prądnik Czerwony
GDOWSKA; Swoszowice
GDYŃSKA; Prądnik Biały
GEODETÓW; Grębałów
GEOLOGÓW; Swoszowice
GERBEROWA; Prokocim-Bieżanów
MIKOŁAJA GERLAHA; Grębałów
WOJCIECHA GERSONA; Prokocim-Bieżanów
GĘSIA; Grzegórzki
JERZEGO GIEDROYCIA; Nowa Huta
GILOWA; Swoszowice
GIPSOWA; Podgórze
GLINIANA; Podgórze
GLINIK; Grębałów
ZYGMUNTA GLOGERA; Prądnik Biały
GŁĘBINOWA; Grębałów
GŁĘBOKA; Prądnik Biały
GŁOGOWA; Prądnik Biały
GŁOGOWIEC; Zwierzyniec
GŁOGOWSKA; Podgórze
BARTOSZA GŁOWACKIEGO; Bronowice
BARTOSZA GŁOWACKIEGO; Łobzów
GMINNA; Wola Duchacka
GNIEŹNIEŃSKA; Prądnik Biały
PUŁKOWNIKA WŁADYSŁAWA GNYSIA; Czyżyny
CYPRIANA GODEBSKIEGO; Grębałów
EMILA GODLEWSKIEGO; Bronowice
WALEREGO GOETLA; Łobzów
GOLIKÓWKA; Podgórze
